DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1981/04/10 06:04:59.80,35.5100,-82.0600,1.10,2.00,Mc,7,225,,0.20,SE,
1981/04/16 13:49:20.50,37.6110,-78.2220,15.50,0.20,Mc,6,191,23,0.10,SE,
1981/05/17 13:33:02.20,35.7700,-83.9800,9.00,1.00,Mc,8,173,,0.10,SE,
1981/06/06 08:05:58.40,38.2160,-79.4930,14.00,0.50,Mc,11,162,15,0.70,SE,
1981/06/16 18:24:38.70,36.0000,-83.6900,5.00,1.60,Mc,6,227,,0.30,SE,
1981/07/30 11:59:48.50,38.1980,-78.0890,4.10,1.10,Mc,18,179,30,0.30,SE,
1981/08/24 11:50:11.40,36.9490,-80.7420,16.10,1.10,Mc,13,184,11,0.30,SE,
1981/09/04 06:59:54.90,43.3800,-71.7300,10.00,1.90,Unk,5,,,0.00,WES,198109044009
1981/10/03 09:56:25.10,35.5860,-79.4310,37.30,1.10,Mc,12,274,201,0.30,SE,
1981/11/12 06:24:14.10,37.2350,-80.7440,7.90,0.80,Mc,6,220,10,0.20,SE,
1981/11/23 13:14:51.00,38.2400,-79.0950,9.10,2.10,ML,23,174,50,0.30,SE,
1981/11/30 17:33:11.00,37.6300,-82.2000,6.70,2.50,Mc,15,204,107,0.50,SE,
1981/12/04 02:35:56.50,36.9990,-80.7540,5.90,2.10,Mc,21,159,6,0.30,SE,
1982/01/13 13:16:25.00,37.7480,-78.0700,9.20,1.60,Mc,15,170,6,0.10,SE,
1982/01/18 06:11:41.10,37.8990,-77.8260,5.80,0.30,Mc,11,179,10,0.10,SE,
1982/01/31 10:13:42.50,35.7160,-83.6640,13.80,2.20,Mc,15,135,12,0.20,SE,
1982/02/20 04:34:25.80,37.4890,-77.7030,2.00,1.60,Mc,15,145,49,0.10,SE,
1982/04/11 20:01:14.60,37.7280,-78.4190,1.10,1.10,Mc,8,278,28,0.10,SE,
1982/05/04 14:54:02.20,37.5660,-78.4650,2.40,1.50,Mc,11,140,40,0.20,SE,
1982/05/04 14:57:31.20,37.5530,-78.4400,1.20,0.80,Mc,6,238,39,0.10,SE,
1982/05/06 07:18:10.90,37.8540,-77.5790,10.00,2.10,Mc,18,153,17,0.20,SE,
1982/05/18 03:16:33.80,37.1300,-80.4970,11.00,1.70,Mc,16,177,11,0.30,SE,
1982/06/12 12:20:29.50,36.0930,-83.7770,16.30,1.10,Mc,5,333,21,0.00,SE,
1982/06/16 18:40:58.70,38.1260,-78.8390,11.00,2.20,Mc,11,124,37,0.10,SE,
1982/06/17 08:02:38.66,41.5210,-72.4400,0.70,2.20,Unk,11,,,0.00,WES,198206174004
1982/06/17 14:14:20.53,41.5180,-72.4410,1.00,2.20,Unk,5,,,0.00,WES,198206174010
1982/06/17 15:29:24.40,41.5080,-72.4370,1.00,2.40,Unk,5,,,0.00,WES,198206174012
1982/06/25 23:03:47.00,37.8320,-77.5020,13.10,1.90,Mc,18,166,23,0.10,SE,
1982/07/10 22:42:26.80,35.8410,-82.7080,6.40,1.10,Mc,5,225,40,0.10,SE,
1982/07/19 04:34:42.60,35.7380,-83.9780,12.60,0.90,Mc,6,212,21,0.00,SE,
1982/08/25 07:44:47.80,35.9220,-83.9060,14.30,1.50,Mc,14,172,2,0.10,SE,
1982/09/20 12:15:32.00,37.8230,-77.4960,10.10,1.60,Mc,20,168,24,0.20,SE,
1982/09/20 17:01:48.60,36.0360,-83.8680,10.20,1.10,Mc,12,241,12,0.10,SE,
1982/09/21 01:07:18.30,36.1130,-83.7500,15.70,1.40,Mc,17,226,24,0.10,SE,
1982/11/02 08:44:45.60,35.7660,-83.9700,13.60,1.20,Mc,9,147,20,0.10,SE,
1982/11/06 03:50:12.40,41.7900,-71.5600,2.00,1.80,Unk,6,,,0.00,WES,198211064003
1982/11/09 03:42:18.90,42.5300,-72.1900,0.00,2.30,Unk,14,,,0.00,WES,198211094005
1982/12/01 03:06:23.80,35.7670,-83.7410,22.90,1.00,Mc,8,158,12,0.10,SE,
1982/12/06 10:52:35.10,36.1360,-83.7470,9.00,1.70,Mc,12,199,26,0.10,SE,
1983/01/08 15:53:55.90,37.3310,-80.6140,6.70,1.30,Mc,8,137,16,0.30,SE,
1983/01/21 05:33:19.60,38.0420,-80.1930,17.90,0.50,Mc,8,330,26,0.10,SE,
1983/01/25 20:38:58.00,37.3860,-80.5090,16.80,1.70,Mc,16,108,14,0.20,SE,
1983/01/29 18:08:30.40,36.1250,-83.7370,15.90,2.10,Mc,16,122,25,0.10,SE,
1983/02/10 06:18:59.60,36.9410,-82.9800,2.10,2.10,Mc,15,190,72,0.40,SE,
1983/02/19 05:45:45.13,40.6490,-74.7690,6.00,2.50,Unk,12,,,0.00,PAL,198302194008
1983/04/20 18:09:56.40,37.3560,-80.8250,11.50,1.30,Mc,13,116,5,0.20,SE,
1983/05/17 02:02:47.60,37.2540,-80.7330,7.00,0.00,Mc,12,133,9,0.30,SE,
1983/06/10 00:18:40.50,37.9510,-80.1670,23.40,1.30,Mc,22,157,30,0.20,SE,
1983/06/10 00:24:57.00,37.9560,-80.1960,18.50,1.30,Mc,26,161,32,0.20,SE,
1983/06/10 00:31:08.40,37.9420,-80.1690,13.70,0.50,Mc,21,156,31,0.30,SE,
1983/07/03 16:29:25.00,37.6370,-78.3610,0.60,1.30,Mc,16,167,28,0.30,SE,
1983/07/10 14:05:39.50,37.2720,-80.7520,7.70,1.10,Mc,14,89,6,0.30,SE,
1983/07/20 04:41:40.30,37.8750,-80.6670,4.40,1.80,Mc,24,204,35,0.50,SE,
1983/07/25 03:27:00.10,37.4970,-81.3570,29.20,0.70,Mc,7,300,33,0.10,SE,
1983/07/30 06:31:52.60,36.6710,-81.6560,4.90,1.60,Mc,21,138,44,0.30,SE,
1983/08/03 13:40:47.20,36.0650,-83.7870,9.50,1.50,Mc,9,208,18,0.20,SE,
1983/08/05 07:22:36.90,35.7830,-83.7620,22.50,2.00,Mc,5,209,14,0.00,SE,
1983/08/10 12:29:34.20,37.7790,-78.4240,11.20,1.90,Mc,14,119,23,0.30,SE,
1983/08/28 22:56:38.50,36.6580,-83.8170,0.10,2.30,Mc,21,124,111,0.30,SE,
1983/09/13 01:35:34.70,35.9720,-82.4330,8.10,1.70,Mc,6,162,59,0.20,SE,
1983/10/08 17:09:33.30,35.7220,-83.9290,22.90,1.60,Mc,15,94,16,0.10,SE,
1983/11/05 06:30:33.80,36.8360,-83.0960,6.70,1.80,Mc,16,192,51,0.10,SE,
1983/11/06 00:12:58.50,36.8680,-83.8210,12.10,2.30,Mc,19,200,33,0.30,SE,
1983/11/08 20:18:44.30,36.0440,-83.8260,5.70,1.50,Mc,13,201,31,0.10,SE,
1983/11/11 06:19:11.00,36.3500,-83.5260,6.40,1.60,Mc,15,117,31,0.10,SE,
1983/11/13 16:51:06.60,37.5660,-80.7590,11.80,0.50,Mc,7,178,8,0.10,SE,
1983/11/13 17:50:49.80,37.5720,-80.7600,14.20,0.80,Mc,8,184,7,0.10,SE,
1983/11/14 16:34:25.10,35.7590,-83.9690,10.10,0.90,Mc,10,196,13,0.10,SE,
1983/11/15 07:02:44.40,36.1110,-79.3410,14.60,1.00,Mc,14,163,62,0.20,SE,
1983/11/17 19:55:06.58,39.8320,-75.6600,5.00,2.20,Unk,6,,,0.29,NEI,198311174016
1983/11/24 19:40:33.10,35.7590,-83.0360,6.80,0.70,Mc,7,155,27,0.20,SE,
1983/11/27 08:17:03.80,36.2770,-81.1060,4.90,2.00,Mc,11,177,26,0.20,SE,
1983/12/04 05:21:49.30,35.5600,-79.9960,20.80,1.60,Mc,16,207,91,0.10,SE,
1983/12/06 04:46:49.40,35.7930,-83.6820,12.20,1.10,Mc,12,152,13,0.10,SE,
1983/12/09 00:11:58.00,37.2000,-80.7860,12.40,1.50,Mc,27,98,13,0.30,SE,
