EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
1093737,ISC      ,4/21/1998,28:26.1,38.1502,-78.5346,13.1,      ,USGS;NEIC,,,,,
,,,,,,,,,,,,,
mbLg  ,2.5,,,,,,,,,,,,
1107639,ISC      ,5/20/1998,53:26.9,38.7555,-78.3742,1.3,      ,USGS;NEIC,,,,,
,,,,,,,,,,,,,
mbLg  ,2.2,BLA;NEIC ,MD    ,2.4,,,,,,,,,
1443432,OTT      ,1/25/1999,12:28.9,42.7873,-77.8202,5,TRUE  ,,,,,,
,,,,,,,,,,,,,
LDO      ,MD    ,2.5,,,,,,,,,,,
1443878,OTT      ,1/27/1999,57:19.5,42.3112,-82.3141,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.5,,,,,,,,,,
1844497,OTT      ,9/22/1999,02:22.3,41.826,-81.4759,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2.5,,,,,,,,,,
1919044,OTT      ,10/30/1999,02:48.8,42.0647,-80.4047,,,,,,,,
,,,,,,,,,,,,,
18,TRUE  ,OTT      ,MN    ,2.5,,,,,,,,,
1785559,ISC      ,1/21/2000,59:48.4,43.026,-71.196,,,,,,,,
,,,,,,,,,,,,,
9.3,      ,WES      ,MD    ,2.5,,,,,,,,,
1795919,ISC      ,4/29/2000,34:54.0,37.633,-77.6,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2.5,,,,,,,,,,
2917258,OTT      ,6/7/2000,19:18.8,42.0073,-80.7795,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
2917260,OTT      ,6/7/2000,55:09.7,42.0073,-80.7795,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.4,,,,,,,,,,
1910290,ISC      ,8/22/2000,45:12.9,41.602,-73.752,6.7,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2.5,,,,,,,,,,
1911947,NEIC     ,10/5/2000,33:56.4,39.949,-76.198,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2,,,,,,,,,,
3189765,OTT      ,10/9/2000,14:06.8,43.138,-78.7314,0,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,,
3190613,ISC      ,10/20/2000,26:31.9,42.256,-80.635,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.5,,,,,,,,,,
1913013,ISC      ,11/6/2000,16:35.1,42.74,-74.209,8,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,2.4,,,,,,,,,,
3407450,OTT      ,1/15/2001,13:54.1,42.6477,-78.447,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
2039820,NEIC     ,1/17/2001,34:22.6,40.777,-73.954,7,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2.5,LDO      ,MD    ,2.4,,,,,,,
3407531,OTT      ,1/22/2001,05:40.9,42.4807,-77.5238,,,,,,,,
,,,,,,,,,,,,,
5,TRUE  ,OTT      ,MN    ,2.4,,,,,,,,,
3407594,OTT      ,1/25/2001,19:23.6,42.4964,-77.4719,,,,,,,,
,,,,,,,,,,,,,
5,TRUE  ,OTT      ,MN    ,2.5,,,,,,,,,
3407598,OTT      ,1/25/2001,00:26.1,42.4944,-77.4194,,,,,,,,
,,,,,,,,,,,,,
1,TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,
3407601,OTT      ,1/26/2001,11:30.5,41.934,-80.7248,,,,,,,,
,,,,,,,,,,,,,
5,TRUE  ,OTT      ,MN    ,2,,,,,,,,,
3407603,OTT      ,1/26/2001,45:25.4,41.934,-80.724,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.2,,,,,,,,,,
3407605,OTT      ,1/26/2001,11:06.0,41.9339,-80.7239,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
3407638,OTT      ,1/30/2001,52:02.3,42.6238,-77.5409,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.2,,,,,,,,,,
3407304,OTT      ,1/30/2001,22:18.8,43.1643,-80.9008,0,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2,,,,,,,,,,
2040923,NEIC     ,2/3/2001,17:50:43,41.41,-72.7,2,,,,,,,
,,,,,,,,,,,,,
TRUE  ,WES      ,MN    ,1.8,,,,,,,,,,
3017504,ISC      ,3/28/2001,19:25.1,37.298,-80.802,10,,,,,,,
,,,,,,,,,,,,,
TRUE  ,BLA      ,MD    ,2.5,,,,,,,,,,
3733400,OTT      ,6/5/2001,27:15.6,41.88,-80.76,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.2,,,,,,,,,,
2049749,ISC      ,7/14/2001,08:29.9,40.855,-74.217,7,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,1.9,,,,,,,,,,
2051680,NEIC     ,8/15/2001,44:34.8,42.094,-72.332,14,,,,,,,
,,,,,,,,,,,,,
TRUE  ,WES      ,MN    ,2.1,,,,,,,,,,
3481449,NEIC     ,9/22/2001,01:20.6,38.026,-78.396,2,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2.5,,,,,,,,,,
3984346,NEIC     ,3/5/2002,1:33:52,41.11,-73.66,6,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,1.1,,,,,,,,,,
3984552,NEIC     ,3/6/2002,09:45.5,41.707,-71.349,17,,,,,,,
,,,,,,,,,,,,,
TRUE  ,WES      ,MN    ,2.2,,,,,,,,,,
2969018,NEIC     ,4/4/2002,2:48:41,43.112,-71.695,4.9,,,,,,,
,,,,,,,,,,,,,
TRUE  ,WES      ,MN    ,1.6,,,,,,,,,,
3181554,NEIC     ,6/7/2002,10:16:04,42.16,-71.56,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,WES      ,MN    ,2.5,,,,,,,,,,
3517733,OTT      ,6/23/2002,19:13.7,43.467,-78.1776,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.4,,,,,,,,,,
3517198,OTT      ,7/9/2002,18:55.9,42.9694,-75.3601,0,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.5,,,,,,,,,,
5777536,OTT      ,8/5/2002,44:24.9,42.9851,-77.5819,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.4,,,,,,,,,,
5777591,OTT      ,8/17/2002,26:32.7,41.8221,-81.0015,1,,,,,,,
,,,,,,,,,,,,,
