emw,lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,nstar,comment
3.31,-87.665,34.828,0,1824,8,22,0,0,0,0.512,1.872,SSC|TMP00714
2.65,-77.153,40.553,0,1825,5,1,11,0,0,0.515,1.886,SSC|TMP00716
3.31,-89.4,36.3,0,1826,1,7,4,0,0,0.512,1.872,SSC|TMP00717
3.18,-81.56,30.08,0,1826,2,26,14,0,0,0.22,1.137,NCE|lnfa=07.9
2.68,-81.2,36.1,0,1827,5,11,0,0,0,0.5,1.94,NCE|io=04.0
4.7,-87.9,37.9,0,1827,7,5,11,30,0,0.22,1.137,BHb|4.7mwd
2.68,-72.1,41.4,0,1827,8,23,0,0,0,0.5,1.94,NCE|io=04.0
4.93,-80,37,0,1828,3,9,0,0,0,0.22,1.137,NCE|lnfa=13.2
2.68,-70,43.9,0,1828,7,25,11,0,0,0.5,1.94,NCE|io=04.0
2.65,-70.5,43.9,0,1828,8,14,15,0,0,0.515,1.886,SSC|TMP00734
2.68,-69.8,44.2,0,1829,8,27,21,45,0,0.5,1.94,NCE|io=04.0
3.58,-77.72,39.65,0,1830,3,29,7,0,0,0.22,1.137,NCE|lnfa=09.5
2.68,-88.34,37.73,0,1831,4,2,14,0,0,0.5,1.94,NCE|io=04.0
5.32,-70.5,47.3,0,1831,5,1,0,0,0,0.525,1.934,SSC|TMP00750
2.68,-64,45,0,1832,1,1,0,0,0,0.5,1.94,NCE|io=04.0
3.81,-75.5,44.69,0,1832,1,22,23,30,0,0.22,1.137,NCE|lnfa=10.3
4.38,-64.5,44.5,0,1832,8,12,7,0,0,0.22,1.137,NCE|lnfa=12.0
3.69,-85.6,42.3,0,1833,2,4,0,0,0,0.22,1.137,NCE|lnfa=09.9
2.68,-70.17,47.65,0,1833,3,1,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.2,47.7,0,1833,4,1,0,0,0,0.5,1.94,NCE|io=04.0
4.38,-78,37.7,0,1833,8,27,11,0,0,0.22,1.137,NCE|lnfa=12.0
3.66,-76.14,39.85,0,1834,2,5,22,30,0,0.22,1.137,NCE|lnfa=09.8
3.35,-86,38,0,1834,11,20,19,40,0,0.5,1.94,NCE|io=05.0
3.31,-88.06,38.38,0,1835,9,5,22,30,0,0.512,1.872,SSC|TMP00774
2.65,-90.38,38.6,0,1835,10,7,12,0,0,0.515,1.886,SSC|TMP00776
2.65,-83.95,35.97,0,1836,4,7,0,0,0,0.515,1.886,SSC|TMP00778
2.68,-81.7,41.5,0,1836,7,9,2,15,0,0.5,1.94,NCE|io=04.0
2.68,-71.31,41.49,0,1836,7,15,20,30,0,0.5,1.94,NCE|io=04.0
2.65,-72.15,41.33,0,1836,8,30,14,0,0,0.22,1.137,NCE|lnfa=05.6
2.68,-70.9,42.5,0,1837,1,15,7,0,0,0.5,1.94,NCE|io=04.0
3.35,-71.22,46.82,0,1837,2,9,3,0,0,0.5,1.94,NCE|io=05.0
3.35,-72.7,41.7,0,1837,4,12,0,0,0,0.5,1.94,NCE|io=05.0
2.6,-71.62,41.94,0,1837,6,22,20,30,0,0.22,1.137,NCE|lnfa=05.4
3.9,-90.22,38.59,0,1838,6,9,14,45,0,0.22,1.137,BHb|3.9mwd
2.78,-66.2,45.4,0,1838,12,12,1,18,0,0.244,1.153,SSC|TMP00791
3.68,-75,43,0,1840,1,16,20,0,0,0.5,1.94,NCE|io=05.5
3.31,-90.244,38.636,0,1840,1,30,9,0,0,0.512,1.872,SSC|TMP00794
2.68,-70.74,41.99,0,1840,4,1,0,0,0,0.5,1.94,NCE|io=04.0
2.98,-83.18,41.12,0,1840,4,8,0,0,0,0.513,1.877,SSC|TMP00796
3.53,-72.9,41.5,0,1840,8,9,20,30,0,0.22,1.137,NCE|lnfa=09.3
3.01,-79.85,43.2,0,1840,9,10,0,0,0,0.5,1.94,NCE|io=04.5
3.08,-74.25,40.79,0,1841,1,25,5,30,0,0.22,1.137,NCE|lnfa=07.5
4.16,-89.2,36.6,0,1841,12,28,5,50,0,0.22,1.137,NCE|lnfa=11.4
2.65,-89.2,36.6,0,1842,3,28,5,0,0,0.515,1.886,SSC|TMP00804
3.98,-94.35,35.45,0,1842,4,20,0,0,0,0.513,1.877,SSC|TMP00805
3.72,-91.92,30.77,0,1842,5,7,15,0,0,0.22,1.137,NCE|lnfa=10.0
2.68,-89.2,36.6,0,1842,5,28,5,0,0,0.5,1.94,NCE|io=04.0
3.35,-89.2,36.6,0,1842,11,4,6,30,0,0.5,1.94,NCE|io=05.0
4.01,-73.2,46,0,1842,11,9,0,0,0,0.5,1.94,NCE|io=06.0
6,-89.9,35.9,0,1843,1,5,2,45,0,0.22,1.137,BJH|6.0mwd
2.65,-86.4,35.5,0,1843,2,9,16,20,0,0.515,1.886,SSC|TMP00813
2.68,-90.3,38.8,0,1843,2,16,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-72.5,44.4,0,1843,3,14,0,0,0,0.5,1.94,NCE|io=04.0
3.02,-83.8,40.1,0,1843,6,19,23,0,0,0.225,1.129,SSC|TMP00822
3.9,-87.1,35.6,0,1843,8,9,0,0,0,0.22,1.137,NCE|lnfa=10.6
2.98,-83.78,38.63,0,1843,10,30,3,0,0,0.513,1.877,SSC|TMP00828
4.42,-89.4,36,0,1844,7,19,22,30,0,0.207,1.108,SSC|TMP00831
2.68,-73.25,41.1,0,1844,8,18,21,0,0,0.5,1.94,NCE|io=04.0
3.3,-78.33,43.05,0,1844,10,22,7,0,0,0.22,1.137,NCE|lnfa=08.4
2.68,-73.6,45.5,0,1844,11,1,0,0,0,0.5,1.94,NCE|io=04.0
3.61,-83.27,35.79,0,1844,11,28,8,0,0,0.22,1.137,NCE|lnfa=09.6
2.68,-73.92,41.93,0,1845,2,3,4,0,0,0.5,1.94,NCE|io=04.0
3.64,-73.67,41.22,0,1845,10,26,23,15,0,0.22,1.137,NCE|lnfa=09.7
2.65,-72.3,43.6,0,1845,11,1,0,0,0,0.515,1.886,SSC|TMP00843
3.31,-90,35.1,0,1845,12,24,3,30,0,0.512,1.872,SSC|TMP00844
3.31,-90.4,35.5,0,1845,12,24,3,30,0,0.512,1.872,SSC|TMP00845
4.21,-89.5,36.6,0,1846,5,8,17,0,0,0.225,1.129,SSC|TMP00850
2.68,-70.3,42.7,0,1846,5,30,18,30,0,0.5,1.94,NCE|io=04.0
3.99,-70.8,42.5,0,1846,8,25,9,45,0,0.22,1.137,NCE|lnfa=10.9
2.68,-66.1,43.8,0,1847,1,1,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-69.1,44.2,0,1847,2,2,0,0,0,0.5,1.94,NCE|io=04.0
3.83,-70.1,41.7,0,1847,8,8,15,0,0,0.22,1.137,NCE|lnfa=10.4
3.35,-72,40.2,0,1847,9,2,0,0,0,0.5,1.94,NCE|io=05.0
2.68,-63.5,45,0,1848,1,1,0,0,0,0.5,1.94,NCE|io=04.0
3.75,-82.53,39.65,0,1848,4,6,0,0,0,0.22,1.137,NCE|lnfa=10.1
4.05,-73.85,41.11,0,1848,9,9,0,0,0,0.22,1.137,NCE|lnfa=11.1
3.35,-89.2,36.6,0,1849,1,24,0,0,0,0.5,1.94,NCE|io=05.0
4.26,-89.4,36.4,0,1849,3,12,10,0,0,0.206,1.107,SSC|TMP00892
4.6,-87.7,38.3,0,1850,4,5,2,5,0,0.22,1.137,BHb|4.6mwd
2.68,-81.7,41.5,0,1850,10,1,10,25,0,0.5,1.94,NCE|io=04.0
2.68,-78.4,37.3,0,1850,10,17,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-69.6,44.6,0,1851,1,4,4,30,0,0.5,1.94,NCE|io=04.0
3.15,-67.1,45,0,1851,1,30,22,12,0,0.213,1.115,SSC|TMP00921
4.98,-89.6,36.7,0,1851,7,2,16,49,0,0.208,1.109,SSC|TMP00925
2.65,-90.12,38.78,0,1851,8,7,0,0,0,0.515,1.886,SSC|TMP00926
2.68,-71.4,41.2,0,1852,1,10,11,40,0,0.5,1.94,NCE|io=04.0
5.06,-89.7,34.9,0,1852,1,23,20,0,0,0.208,1.109,SSC|TMP00932
2.65,-82.99,39.34,0,1852,1,26,0,0,0,0.515,1.886,SSC|TMP00933
3.66,-76.3,39.33,0,1852,2,16,6,0,0,0.22,1.137,NCE|lnfa=09.8
4.96,-82,36.7,0,1852,4,29,18,0,0,0.25,1.18,J94|4.96mwd
3.35,-84.99,29.73,0,1852,5,10,8,0,0,0.5,1.94,NCE|io=05.0
3.47,-65.8,47.5,0,1852,8,3,3,29,0,0.192,1.092,SSC|TMP00943
3.11,-82,33.48,0,1852,8,25,2,40,0,0.22,1.137,NCE|lnfa=07.6
3.98,-80.17,41.63,0,1852,9,15,0,0,0,0.513,1.877,SSC|TMP00948
2.98,-83,33,0,1852,10,10,1,0,0,0.513,1.877,SSC|TMP00951
4.12,-78.6,37.6,0,1852,11,2,23,35,0,0.22,1.137,NCE|lnfa=11.3
3.5,-70.9,43,0,1852,11,28,4,45,0,0.22,1.137,NCE|lnfa=09.2
3.68,-75.5,43.7,0,1853,3,12,7,0,0,0.5,1.94,NCE|io=05.5
3.01,-79.4,43.1,0,1853,3,13,10,0,0,0.5,1.94,NCE|io=04.5
4.42,-79.5,38.5,0,1853,5,2,14,20,0,0.22,1.137,NCE|lnfa=12.1
3.86,-81.96,33.49,0,1853,5,20,5,10,0,0.22,1.137,NCE|lnfa=10.5
2.68,-70.2,43.5,0,1853,7,17,10,30,0,0.5,1.94,NCE|io=04.0
4.01,-89,30.9,0,1853,9,11,23,0,0,0.205,1.106,SSC|TMP00972
2.68,-69,43,0,1853,11,27,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-71.9,43,0,1853,11,28,0,0,0,0.5,1.94,NCE|io=04.0
4.19,-89.2,36.6,0,1853,12,12,0,0,0,0.22,1.137,NCE|lnfa=11.5
3.6,-83.7,39.4,0,1854,1,11,2,0,0,0.193,1.093,SSC|TMP00979
3.69,-84,37.6,0,1854,2,28,0,0,0,0.22,1.137,NCE|lnfa=09.9
2.68,-85.2,38.2,0,1854,3,8,0,0,0,0.5,1.94,NCE|io=04.0
3.06,-83.62,32.82,0,1854,3,20,6,15,0,0.22,1.137,NCE|lnfa=07.4
2.98,-84.5,39.1,0,1854,7,1,0,0,0,0.513,1.877,SSC|TMP00992
2.68,-72.3,42.9,0,1854,10,24,0,0,0,0.5,1.94,NCE|io=04.0
3.27,-70.8,43,0,1854,12,11,5,30,0,0.22,1.137,NCE|lnfa=08.3
3.83,-71,44,0,1855,1,16,23,0,0,0.22,1.137,NCE|lnfa=10.4
3.72,-78.6,37,0,1855,2,2,8,0,0,0.22,1.137,NCE|lnfa=10.0
4.9,-64.5,46,0,1855,2,8,11,15,0,0.25,1.18,J94|4.90mwd
2.68,-69.6,44.6,0,1855,2,19,0,0,0,0.5,1.94,NCE|io=04.0
3.69,-90.4,38.75,0,1855,4,5,3,5,0,0.206,1.107,SSC|TMP01017
2.68,-89.2,37,0,1855,5,3,3,33,0,0.5,1.94,NCE|io=04.0
2.68,-71.6,44.7,0,1855,5,29,10,0,0,0.5,1.94,NCE|io=04.0
2.68,-65.5,44.7,0,1855,6,1,0,0,0,0.5,1.94,NCE|io=04.0
3.72,-76.58,39.07,0,1855,6,28,0,18,0,0.22,1.137,NCE|lnfa=10.0
2.58,-78.43,42.08,0,1855,9,24,6,0,0,0.22,1.137,NCE|lnfa=05.3
2.68,-73.7,43.3,0,1855,12,17,19,0,0,0.5,1.94,NCE|io=04.0
2.68,-75.5,44.69,0,1856,1,5,12,0,0,0.5,1.94,NCE|io=04.0
2.68,-78.2,39.2,0,1856,1,16,8,0,0,0.5,1.94,NCE|io=04.0
2.68,-72.6,41.4,0,1856,3,13,3,0,0,0.5,1.94,NCE|io=04.0
4.12,-89.5,36.6,0,1856,11,9,10,0,0,0.22,1.137,NCE|lnfa=11.3
3.31,-79.539,38.642,0,1857,1,1,0,0,0,0.512,1.872,SSC|TMP01043
2.65,-89.5,36.6,0,1857,2,1,0,0,0,0.515,1.886,SSC|TMP01044
3.11,-74.75,40.08,0,1857,2,10,23,30,0,0.22,1.137,NCE|lnfa=07.6
3.81,-81.05,42.22,0,1857,2,27,20,30,0,0.22,1.137,NCE|lnfa=10.3
3.25,-83.18,33,0,1857,3,1,22,45,0,0.22,1.137,NCE|lnfa=08.2
